provinsi,grup,pulau,nilai_guru,nilai_siswa
Kalimantan Utara,1,luarjawa,21.11538462,277.3076923
Prop. Aceh,2,luarjawa,33.04191617,269.7844311
Prop. Bali,2,luarjawa,45.24369748,567.3781513
Prop. Bangka Belitung,2,luarjawa,25.22368421,350.6973684
Prop. Banten,2,jawa,28.73061224,525.1836735
Prop. Bengkulu,2,luarjawa,28.82882883,328.2522523
Prop. D.I. Yogyakarta,1,jawa,31.61235955,337.7696629
Prop. D.K.I. Jakarta,1,jawa,38.81506849,601.3630137
Prop. Gorontalo,2,luarjawa,21.05128205,249.8589744
Prop. Jambi,2,luarjawa,27.16969697,293.0242424
Prop. Jawa Barat,2,jawa,35.54201681,640.8319328
Prop. Jawa Tengah,2,jawa,36.70864662,490.1795113
Prop. Jawa Timur,1,jawa,38.79533404,508.5493107
Prop. Kalimantan Barat,2,luarjawa,20.66285714,300.1257143
Prop. Kalimantan Selatan,1,luarjawa,22.10552764,247.4522613
Prop. Kalimantan Tengah,2,luarjawa,17.04273504,204.957265
Prop. Kalimantan Timur,1,luarjawa,25.22758621,331.3241379
Prop. Kepulauan Riau,1,luarjawa,22.56,268.1866667
Prop. Lampung,1,luarjawa,31.96345515,406.7342193
Prop. Maluku,1,luarjawa,22.8125,235.03125
Prop. Maluku Utara,1,luarjawa,17.58490566,204.6603774
Prop. Nusa Tenggara Barat,1,luarjawa,36.83163265,359.622449
Prop. Nusa Tenggara Timur,1,luarjawa,22.34519573,298.2313167
Prop. Papua,1,luarjawa,23.35555556,304.3555556
Prop. Papua Barat,1,luarjawa,19.27777778,268.6111111
Prop. Riau,2,luarjawa,27.52727273,330.4872727
Prop. Sulawesi Barat,2,luarjawa,28.58571429,306.9285714
Prop. Sulawesi Selatan,2,luarjawa,31.35835351,345.6246973
Prop. Sulawesi Tengah,2,luarjawa,25.85806452,273.1548387
Prop. Sulawesi Tenggara,1,luarjawa,26.57471264,273.4482759
Prop. Sulawesi Utara,1,luarjawa,18.7027027,237.3063063
Prop. Sumatera Barat,1,luarjawa,35.73972603,372.173516
Prop. Sumatera Selatan,1,luarjawa,34.13618677,422.4435798
Prop. Sumatera Utara,2,luarjawa,28.30022573,390.9525959
